title,description,icon,xp_reward,category,rarity,id,created_date,updated_date,created_by_id,is_sample
"Creative Mind","Create 10 projects","Palette","400","creative","epic","68f8bcf25b30026875dd2697","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Productivity Master","Complete 100 tasks","CheckSquare","750","productivity","legendary","68f8bcf25b30026875dd2698","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Social Butterfly","Connect with 10 friends","Users","250","social","rare","68f8bcf25b30026875dd2694","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Team Player","Help 5 teammates","Users","150","social","common","68f8bcf25b30026875dd269a","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Knowledge Seeker","Read 50 articles","BookOpen","300","learning","rare","68f8bcf25b30026875dd2696","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Early Bird","Start 7 days in a row at 6 AM","Sunrise","200","productivity","rare","68f8bcf25b30026875dd2699","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"First Steps","Complete your first challenge","Footprints","100","learning","common","68f8bcf25b30026875dd2693","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Leyenda","Alcanza el nivel 10","Star","1000","productivity","legendary","68f8d579552459be3bc2e261","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"Amigo Genial","Ayuda a un compañero con su tarea","Users","150","social","common","68f8d579552459be3bc2e260","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"¡Primer Paso!","Completa tu primera tarea del día","Star","100","productivity","common","68f8d579552459be3bc2e25b","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"Super Deportista","Haz ejercicio 7 días seguidos","Dumbbell","500","fitness","epic","68f8d579552459be3bc2e25f","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"Campeón de Lectura","Lee 10 páginas de un libro","BookOpen","200","learning","common","68f8d579552459be3bc2e25d","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"Madrugador","Levántate temprano 5 días seguidos","Sunrise","300","productivity","rare","68f8d579552459be3bc2e25c","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"Artista Creativo","Completa un proyecto de arte","Palette","250","creative","rare","68f8d579552459be3bc2e25e","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"Cerebrito 🧠","Completaste 5 desafíos de aprendizaje","Star","150","learning","rare","68f8d8cff3cad43de43fb0c3","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Artista Genial 🎨","Completaste 3 desafíos creativos","Star","120","creative","rare","68f8d8cff3cad43de43fb0c4","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Explorador Curioso 🔍","Probaste desafíos de todas las categorías","Star","180","learning","rare","68f8d8cff3cad43de43fb0c9","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Primera Estrella ⭐","¡Completaste tu primer desafío! Eres increíble","Star","50","learning","common","68f8d8cff3cad43de43fb0c2","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Organizador Pro 📋","Completaste 3 tareas de orden","Star","100","productivity","common","68f8d8cff3cad43de43fb0c6","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Leyenda Dorada 👑","Alcanzaste el nivel 5. ¡Eres una superestrella!","Star","500","learning","legendary","68f8d8cff3cad43de43fb0cb","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Campeón del Día 🏆","Completaste 5 desafíos en un solo día","Star","250","learning","epic","68f8d8cff3cad43de43fb0c8","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Atleta Súper 💪","Completaste 5 desafíos de ejercicio","Star","130","fitness","rare","68f8d8cff3cad43de43fb0c5","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Maestro de la Concentración 🎯","Completaste 3 desafíos difíciles sin ayuda","Star","220","productivity","epic","68f8d8cff3cad43de43fb0ca","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Racha de Fuego 🔥","Completaste desafíos 3 días seguidos","Star","200","productivity","epic","68f8d8cff3cad43de43fb0c7","2025-10-22T13:14:55.646000","2025-10-22T13:14:55.646000","68f8bc1e327b319b57e0d51f",""
"Súper Campeón 🏆","Alcanzaste el nivel 10","Star","800","tareas","legendario","68f8dc1eb506039aa9fdce50","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Primera Estrella ⭐","¡Completaste tu primer desafío! Eres increíble","Star","50","aprendizaje","comun","68f8dc1eb506039aa9fdce46","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Imparable 🚀","Completaste 10 desafíos en total","Star","500","tareas","epico","68f8dc1eb506039aa9fdce4d","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Amigo Genial 👥","Completaste 5 desafíos sociales","Star","200","social","raro","68f8dc1eb506039aa9fdce4b","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Leyenda Dorada 👑","Completaste 25 desafíos en total","Star","1000","tareas","legendario","68f8dc1eb506039aa9fdce4f","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Artista Supremo 🎨","Completaste 5 desafíos creativos","Star","200","creatividad","raro","68f8dc1eb506039aa9fdce48","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Cerebrito 🧠","Completaste 5 desafíos de aprendizaje","Star","200","aprendizaje","raro","68f8dc1eb506039aa9fdce47","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Racha de Fuego 🔥","Completaste desafíos 3 días seguidos","Star","300","tareas","epico","68f8dc1eb506039aa9fdce4c","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Súper Activo 💪","Completaste 5 desafíos de movimiento","Star","200","movimiento","raro","68f8dc1eb506039aa9fdce49","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Maestro del Conocimiento 📚","Alcanzaste el nivel 5","Star","400","aprendizaje","epico","68f8dc1eb506039aa9fdce4e","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Explorador Curioso 🔍","Probaste desafíos de todas las categorías","Star","600","aprendizaje","epico","68f8dc1eb506039aa9fdce51","2025-10-22T13:29:02.858000","2025-10-22T13:29:02.858000","68f8bc1e327b319b57e0d51f",""
"Primer Paso","Completaste tu primer desafío","Star","50","aprendizaje","comun","68f9bf6bf9b974024cc9c647","2025-10-23T05:38:51.005000","2025-10-23T05:38:51.005000","68f8bc1e327b319b57e0d51f",""
"Racha de 5","Completaste 5 desafíos seguidos","Trophy","100","aprendizaje","raro","68f9bf6bf9b974024cc9c648","2025-10-23T05:38:51.005000","2025-10-23T05:38:51.005000","68f8bc1e327b319b57e0d51f",""
"Maestro del Código","Completaste todos los desafíos de código","Code","200","aprendizaje","legendario","68f9bf6bf9b974024cc9c64a","2025-10-23T05:38:51.005000","2025-10-23T05:38:51.005000","68f8bc1e327b319b57e0d51f",""
"Explorador","Completa 5 desafíos diferentes","compass","150","aprendizaje","raro","68f9c0e922cc45f2f4c6c7e7","2025-10-23T05:45:13.597000","2025-10-23T05:45:13.597000","68f8bc1e327b319b57e0d51f",""
"Atleta","Completa 10 desafíos de movimiento","trophy","250","movimiento","epico","68f9c0e922cc45f2f4c6c7e8","2025-10-23T05:45:13.597000","2025-10-23T05:45:13.597000","68f8bc1e327b319b57e0d51f",""
"Artista","Completa 10 desafíos creativos","palette","250","creatividad","epico","68f9c0e922cc45f2f4c6c7e9","2025-10-23T05:45:13.597000","2025-10-23T05:45:13.597000","68f8bc1e327b319b57e0d51f",""
"Leyenda","Alcanza el nivel 10","crown","500","social","legendario","68f9c0e922cc45f2f4c6c7ea","2025-10-23T05:45:13.597000","2025-10-23T05:45:13.597000","68f8bc1e327b319b57e0d51f",""